iter	Passed	Remaining
0	1	1638
1	2	2167
2	3	1925
3	4	1823
4	5	1765
5	6	1710
6	7	1682
7	8	1652
8	9	1627
9	10	1615
10	12	1741
11	15	1873
12	16	1943
13	19	2053
14	20	2078
15	22	2044
16	23	2024
17	24	1988
18	25	1976
19	26	1949
20	27	1923
21	28	1899
22	29	1875
23	30	1855
24	31	1836
25	32	1817
26	33	1800
27	34	1788
28	35	1780
29	37	1821
30	39	1854
31	40	1843
32	41	1832
33	42	1817
34	43	1802
35	43	1788
36	44	1775
37	45	1761
38	46	1751
39	47	1740
40	48	1728
41	49	1717
42	50	1707
43	51	1701
44	52	1692
45	53	1686
46	54	1679
47	55	1673
48	56	1665
49	57	1658
50	58	1652
51	59	1645
52	59	1637
53	60	1631
54	61	1626
55	62	1621
56	63	1615
57	64	1610
58	65	1604
59	66	1598
60	67	1593
61	68	1589
62	69	1584
63	70	1579
64	71	1575
65	72	1571
66	73	1568
67	74	1564
68	75	1562
69	77	1575
70	78	1572
71	79	1569
72	80	1565
73	81	1561
74	82	1558
75	83	1557
76	84	1554
77	85	1551
78	86	1548
79	87	1546
80	87	1535
81	88	1532
82	89	1531
83	90	1529
84	91	1527
85	92	1526
86	93	1525
87	94	1523
88	96	1522
89	97	1519
90	98	1517
91	98	1514
92	99	1512
93	100	1510
94	101	1507
95	102	1504
96	103	1502
97	104	1500
98	105	1497
99	106	1497
100	107	1494
101	109	1503
102	110	1500
103	111	1499
104	112	1496
105	113	1494
106	114	1492
107	115	1489
108	116	1486
109	117	1483
110	118	1481
111	119	1479
112	120	1477
113	121	1474
114	121	1467
115	122	1464
116	123	1462
117	124	1460
118	125	1451
119	125	1448
120	126	1446
121	127	1445
122	129	1453
123	130	1450
124	131	1448
125	132	1446
126	133	1444
127	134	1442
128	135	1441
129	136	1440
130	137	1438
131	138	1436
132	139	1434
133	140	1432
134	141	1430
135	142	1428
136	143	1426
137	144	1423
138	145	1421
139	146	1419
140	147	1418
141	148	1416
142	149	1414
143	150	1412
144	151	1411
145	152	1418
146	153	1415
147	154	1413
148	155	1411
149	156	1410
150	157	1408
151	159	1411
152	160	1410
153	161	1408
154	162	1406
155	162	1403
156	163	1402
157	164	1400
158	165	1398
159	166	1396
160	167	1395
161	168	1393
162	169	1391
163	170	1389
164	171	1387
165	172	1385
166	173	1384
167	174	1382
168	175	1380
169	176	1378
170	177	1376
171	178	1374
172	178	1372
173	179	1371
174	180	1369
175	181	1368
176	182	1366
177	183	1364
178	184	1363
179	185	1361
180	186	1359
181	187	1358
182	188	1356
183	189	1355
184	190	1353
185	191	1351
186	192	1350
187	193	1348
188	194	1346
189	195	1345
190	196	1343
191	197	1346
192	198	1344
193	199	1343
194	200	1341
195	201	1339
196	202	1338
197	203	1337
198	204	1335
199	205	1334
200	206	1332
201	207	1331
202	208	1330
203	209	1328
204	210	1326
205	210	1324
206	211	1323
207	212	1321
208	213	1319
209	214	1318
210	215	1316
211	216	1314
212	217	1313
213	218	1312
214	219	1310
215	220	1313
216	221	1311
217	222	1310
218	223	1309
219	224	1307
220	225	1306
221	226	1304
222	227	1303
223	228	1301
224	229	1300
225	230	1299
226	231	1297
227	232	1296
228	233	1294
229	234	1293
230	235	1291
231	235	1289
232	236	1288
233	238	1290
234	239	1288
235	240	1287
236	241	1285
237	242	1284
238	243	1282
239	244	1281
240	245	1280
241	246	1279
242	247	1278
243	248	1277
244	249	1275
245	249	1274
246	250	1272
247	251	1271
248	252	1269
249	253	1268
250	254	1267
251	255	1265
252	256	1264
253	257	1263
254	258	1262
255	259	1260
256	260	1259
257	261	1258
258	262	1256
259	263	1255
260	264	1254
261	265	1252
262	266	1251
263	266	1249
264	267	1248
265	268	1247
266	269	1245
267	270	1244
268	271	1242
269	272	1241
270	273	1240
271	274	1238
272	275	1237
273	276	1236
274	277	1234
275	278	1233
276	279	1236
277	280	1234
278	281	1233
279	282	1232
280	283	1230
281	284	1229
282	285	1228
283	286	1227
284	287	1226
285	288	1224
286	289	1223
287	290	1222
288	291	1221
289	292	1219
290	293	1218
291	294	1217
292	295	1215
293	296	1214
294	297	1213
295	298	1212
296	298	1210
297	299	1209
298	300	1208
299	301	1206
